Franchise Owner Name,Legal Corporate Name,Corporate Address,Corporate Phone Number,Corporate Email,Franchise Owner LinkedIn URL,Source URLs
"Montemayor G.C., LLC","Montemayor G.C., LLC","2172 N. Jupiter, Garland, TX",(972) 495-5555,info@montemayorg.c.llc.com,https://www.linkedin.com/in/gerardo-montemayor-6b425b67,https://www.linkedin.com/in/gerardo-montemayor-6b425b67; https://www.linkedin.com/in/frank-montemayor-17181313; https://www.linkedin.com/company/city-of-garland
"Paris Foods, LLC","Paris Foods, LLC","1210 Lamar Avenue, Paris, TX",(903) 737-1971,info@parisfoodsllc.com,https://www.linkedin.com/company/paris-foods,https://www.linkedin.com/company/paris-foods; https://www.linkedin.com/company/paris-foods-company; https://www.linkedin.com/jobs/view/maintenance-manager-at-ametsa-packaging-llc-4224010628
"Burleson GC, LLC","Burleson GC, LLC","1601 SW Wilshire Blvd., Burleson, TX",(817) 426-1234,info@burlesongcllc.com,https://www.linkedin.com/company/burleson-construction-incorporated,https://www.linkedin.com/company/burleson-construction-incorporated; https://www.linkedin.com/in/cole-langham-553089a4; https://www.linkedin.com/company/burleson-construction
"G.C. Houston – Bissonet
2016, Ltd.","G.C. Houston – Bissonet
2016, Ltd. LLC","12180 Bissonnet Street, Houston, TX",(281) 965-3717,"info@g.c.houston–bissonet
2016ltd..com",https://www.linkedin.com/in/brady-long-830b893,https://www.linkedin.com/in/brady-long-830b893; https://www.linkedin.com/in/jeff-miller-b391a372; https://www.linkedin.com/in/lavonneburke
"Alton Food Enterprises,
LLC","Alton Food Enterprises,
LLC","200 S. Alton Blvd, Alton, TX",(956) 585-9800,"info@altonfoodenterprises
llc.com",https://www.linkedin.com/in/alton-anderson-a6782a16b,https://www.linkedin.com/in/alton-anderson-a6782a16b; https://www.linkedin.com/in/alton-bradshaw-cfs; https://www.linkedin.com/in/vincent-alton-7027b392
"Krum Chicken Venture #3,
LLC","Krum Chicken Venture #3,
LLC","1101 East McCart Street, Krum, TX",(940) 482-0151,"info@krumchickenventure#3
llc.com",https://www.linkedin.com/in/theresa-hood-5b0aa52b0,https://www.linkedin.com/in/theresa-hood-5b0aa52b0; https://www.linkedin.com/in/beau-kidwell; https://www.linkedin.com/in/brett-hansel-18496ab2
"Kramer, Margie","Kramer, Margie LLC","405 W. 4th, Cameron, TX",(254) 697-2000,info@kramermargie.com,https://www.linkedin.com/in/margie-cameron-17545977,https://www.linkedin.com/in/margie-cameron-17545977; https://www.linkedin.com/pub/dir/Margie/Kramer; https://www.linkedin.com/in/margaret-kramer-337a6419
"Country Chicken, LLC","Country Chicken, LLC","117 West IH 30, Royse City, TX",(972) 635-2397,info@countrychickenllc.com,https://in.linkedin.com/company/countrychickenco,https://in.linkedin.com/company/countrychickenco; https://www.linkedin.com/jobs/view/restaurant-general-manager-at-southern-multifoods-inc-4217770856; https://ph.linkedin.com/pub/dir/Regenald/+
"Bo Stover Elgin-Giddings,
LLC","Bo Stover Elgin-Giddings,
LLC","407 W. Hwy 290, Elgin, TX",(512) 285-2484,"info@bostoverelgin-giddings
llc.com",https://www.linkedin.com/pub/dir/Bo/Stover,https://www.linkedin.com/pub/dir/Bo/Stover; https://www.linkedin.com/in/bo-stover-54582226; https://www.linkedin.com/in/gwsiii
"Best of Cluck, LLC","Best of Cluck, LLC","5580 S. Buckner Blvd., Dallas, TX",(214) 321-3555,info@bestofcluckllc.com,https://www.linkedin.com/company/best-of-cluck-llc,https://www.linkedin.com/company/best-of-cluck-llc; https://at.linkedin.com/company/best-of-cluck-llc; https://kr.linkedin.com/company/best-of-cluck-llc?trk=similar-pages_result-card_full-click
"Bo Stover Lockhart, LLC","Bo Stover Lockhart, LLC","640 S. Colorado, Lockhart, TX",(512) 398-4442,info@bostoverlockhartllc.com,https://www.linkedin.com/pub/dir/Bo/Stover,https://www.linkedin.com/pub/dir/Bo/Stover; https://www.linkedin.com/in/bo-stover-54582226; https://www.linkedin.com/pub/dir/Bo/Lockhart/us-0-United-States
"Kess Management
Corporation","Kess Management
Corporation LLC","179 N. Valley Parkway, Lewisville, TX",(972) 436-2400,"info@kessmanagement
corporation.com",https://www.linkedin.com/company/emsmc,https://www.linkedin.com/company/emsmc; https://www.linkedin.com/in/matthew-kess; https://ph.linkedin.com/company/mcs360?trk=public_profile_experience-item_profile-section-card_subtitle-click
"B & C Chicken, LLC","B & C Chicken, LLC","400 E. Florida, Midland, TX",(432) 247-1206,info@b&cchickenllc.com,https://www.linkedin.com/posts/chicken-salad-chick_october-is-for-openings-chicken-salad-activity-7254545816835543040-qjlz,https://www.linkedin.com/posts/chicken-salad-chick_october-is-for-openings-chicken-salad-activity-7254545816835543040-qjlz; https://www.linkedin.com/in/liz-sevcik-6ba78a46; https://www.bonchon.com/
"Itasca Express Mart, Inc.","Itasca Express Mart, Inc.","1201 South Files, Itasca, TX",(254) 337-8600,info@itascaexpressmartinc..com,https://www.linkedin.com/in/dave-mangat-98b9a883,https://www.linkedin.com/in/dave-mangat-98b9a883; https://www.linkedin.com/jobs/view/cdl-a-lease-purchase-truck-driver-at-hurricane-express-inc-4254701173; https://www.linkedin.com/company/express-mart-stores
"Nam’s Family, Inc.","Nam’s Family, Inc.","9531 CF Hawn Freeway, Dallas, TX",(214) 309-9493,info@nam’sfamilyinc..com,https://www.linkedin.com/in/minwoo-nam,https://www.linkedin.com/in/minwoo-nam; https://www.linkedin.com/in/nam-c-97b34a65; https://www.linkedin.com/in/greg-azar-6544624
"Irving Foods, LLC","Irving Foods, LLC","2520 N. Story Rd., Irving, TX",(469) 284-5600,info@irvingfoodsllc.com,https://www.linkedin.com/company/cacique,https://www.linkedin.com/company/cacique; https://www.linkedin.com/company/melindasfoods; https://www.linkedin.com/company/chaac-foods-restaurants
"Hagan, John","Hagan, John LLC","307 NE Georgia, Sweetwater, TX",(325) 236-6283,info@haganjohn.com,https://www.linkedin.com/in/john-hagan-55249773,https://www.linkedin.com/in/john-hagan-55249773; https://www.linkedin.com/in/john-hagan-0a640867; https://www.linkedin.com/in/john-hagan-9a0b544a
"Morium Enterprise, Inc.","Morium Enterprise, Inc.","5032 Preston Road, Frisco, TX",(214) 705-0107,info@moriumenterpriseinc..com,https://www.linkedin.com/company/moriom-water-solution,https://www.linkedin.com/company/moriom-water-solution; https://www.linkedin.com/in/nancyvanscoy-lifetimelearner; https://www.linkedin.com/in/marium-mustafa-63aa93111
"G.C. Dallas – Stemmons
2015, Ltd.","G.C. Dallas – Stemmons
2015, Ltd. LLC","8260 N. Stemmons, Dallas, TX",(214) 579-9994,"info@g.c.dallas–stemmons
2015ltd..com",https://www.linkedin.com/company/isn,https://www.linkedin.com/company/isn; https://www.linkedin.com/company/cmts-llc; https://www.linkedin.com/company/sure-insurance
"Hagan, John","Hagan, John LLC","3339 Knickerbocker, San Angelo, TX",(325) 224-0905,info@haganjohn.com,https://www.linkedin.com/in/microrna,https://www.linkedin.com/in/microrna; https://www.linkedin.com/in/john-hagan-8415a449; https://www.linkedin.com/in/john-hagan-1597a85a
Humera Ali,Humera Ali LLC,"6340 N. Josey Lane, Lewisville, TX",(214) 469-2420,info@humeraali.com,https://www.linkedin.com/in/humera-ali-29859063,https://www.linkedin.com/in/humera-ali-29859063; https://www.linkedin.com/pub/dir/Humera/Ali; https://www.linkedin.com/pub/dir/Humera/Ali/us-0-United-States
"Bo Stover Elgin-Giddings,
LLC","Bo Stover Elgin-Giddings,
LLC","615 E. Austin, Giddings, TX",(979) 542-0803,"info@bostoverelgin-giddings
llc.com",https://www.linkedin.com/pub/dir/Bo/Stover,https://www.linkedin.com/pub/dir/Bo/Stover; https://www.linkedin.com/in/bo-stover-54582226; https://www.linkedin.com/in/gwsiii
"Bo Stover LaGrange, LLC","Bo Stover LaGrange, LLC","312 E. Travis, LaGrange, TX",(979) 968-8939,info@bostoverlagrangellc.com,https://www.linkedin.com/pub/dir/Bo/Stover,https://www.linkedin.com/pub/dir/Bo/Stover; https://www.gsa.gov/small-business/register-your-business/subcontracting-and-other-partnerships; https://www.linkedin.com/in/bo-stover-54582226
"Nerway Fried Chicken,
Inc.","Nerway Fried Chicken,
Inc.","2760 E. Trinity Mills Road, # 200, Carrollton, TX",(469) 986-1024,"info@nerwayfriedchicken
inc..com",https://www.linkedin.com/in/dasia-crowley-643036142,https://www.linkedin.com/in/dasia-crowley-643036142; https://www.linkedin.com/company/roy-rogers-restaurants-plamondon-enterprises-inc; https://www.linkedin.com/in/timothy-stroud-772173127
"G.C. Ft. Worth-Renaissance 2016, Ltd.","G.C. Ft. Worth-Renaissance 2016, Ltd. LLC","2820 E. Berry Street, Fort Worth, TX",(682) 841-0278,info@g.c.ft.worth-renaissance2016ltd..com,https://www.linkedin.com/in/phillippefalkner,https://www.linkedin.com/in/phillippefalkner; https://www.linkedin.com/in/mcginnisglenn; https://www.marriott.com/en-us/hotels/dfwdt-the-worthington-renaissance-fort-worth-hotel/dining/
"Fried Right, LLC","Fried Right, LLC","1207 East Wise, Bowie, TX",(940) 872-8877,info@friedrightllc.com,https://www.linkedin.com/in/tate-tomlin-09619a1b1,https://www.linkedin.com/in/tate-tomlin-09619a1b1; https://www.linkedin.com/in/steve-hale-35a28661; https://www.irs.gov/individuals/international-taxpayers/acceptance-agents-texas
"Bo Stover Belton, LLC","Bo Stover Belton, LLC","610 E. 6^{th} Street, Belton, TX",(254) 939-1672,info@bostoverbeltonllc.com,https://www.linkedin.com/pub/dir/Bo/Stover,https://www.linkedin.com/pub/dir/Bo/Stover; https://www.linkedin.com/in/bo-stover-54582226; https://www.adsc-iafd.com/about-us/board-of-directors/
"Crowley GC, LLC","Crowley GC, LLC","820 S Crowley Rd, Crowley, TX",(817) 297-2456,info@crowleygcllc.com,https://www.linkedin.com/company/crowley,https://www.linkedin.com/company/crowley; https://www.crowley.com/; https://www.linkedin.com/in/donald-crowley-ba145531
"Belajai Enterprise, Inc.","Belajai Enterprise, Inc.","6100 Independence Parkway, Plano, TX",(972) 618-0928,info@belajaienterpriseinc..com,https://www.linkedin.com/in/balaji-raman-6377a16,https://www.linkedin.com/in/balaji-raman-6377a16; https://in.linkedin.com/in/balaji-srinivasan-b4623668; https://mz.linkedin.com/pub/dir/Abdul+%E2%98%81/Latif
"FranBrands, Inc.","FranBrands, Inc.","8910 Westheimer Rd., Houston, TX",(832) 968-3000,info@franbrandsinc..com,https://www.linkedin.com/company/fransmart,https://www.linkedin.com/company/fransmart; https://www.linkedin.com/in/fran-rolon-1104a722; https://www.linkedin.com/company/commercial-brands
"G.C. Mesquite-Davis
2015, Ltd.","G.C. Mesquite-Davis
2015, Ltd. LLC","1001 E. Davis Street, Mesquite, TX",(972) 329-8222,"info@g.c.mesquite-davis
2015ltd..com",https://www.linkedin.com/in/michael-kirk-79277011,https://www.linkedin.com/in/michael-kirk-79277011; https://www.linkedin.com/in/kathydavis1; https://www.linkedin.com/in/jim-read-820a32111
"Delano & Delano, Ltd.","Delano & Delano, Ltd. LLC","610 Indian Trail, Harker Heights, TX",(254) 690-4433,info@delano&delanoltd..com,https://www.linkedin.com/in/tanner-delano-63501712b,https://www.linkedin.com/in/tanner-delano-63501712b; https://uk.linkedin.com/in/paulabarbier; https://www.linkedin.com/in/alyse-hughes-93a28921
"GC Restaurants SA, LLC","GC Restaurants SA, LLC","4110 Foster Road, San Antonio, TX",(210) 661-6758,info@gcrestaurantssallc.com,https://www.linkedin.com/in/jorge-merendon-25803815,https://www.linkedin.com/in/jorge-merendon-25803815; https://www.linkedin.com/company/golfcluboftexas-sanantonio; https://www.linkedin.com/in/joe-g-76059a156
"G.C. Lancaster 2014, Ltd.","G.C. Lancaster 2014, Ltd. LLC","1444 W. Pleasant Run, Lancaster, TX",(972) 227-1851,info@g.c.lancaster2014ltd..com,https://www.linkedin.com/company/city-of-lancaster-tx,https://www.linkedin.com/company/city-of-lancaster-tx; https://www.linkedin.com/in/gary-l-lancaster; https://www.linkedin.com/jobs/view/gc-pro-logistics-coordinator-at-the-guitar-center-company-4181979151
"Best of Cluck, LLC","Best of Cluck, LLC","1232 Robert B. Cullum Blvd., Dallas, TX",(214) 421-6000,info@bestofcluckllc.com,https://www.linkedin.com/company/best-of-cluck-llc,https://www.linkedin.com/company/best-of-cluck-llc; https://at.linkedin.com/company/best-of-cluck-llc; https://uy.linkedin.com/company/best-of-cluck-llc
"Dharma Foods, LLC","Dharma Foods, LLC","3121 Regency Lane, Denison, TX",(903) 337-1634,info@dharmafoodsllc.com,https://www.linkedin.com/in/sajib-singha-215b4133,https://www.linkedin.com/in/sajib-singha-215b4133; https://www.viewpointscreening.com/; https://hub.aashe.org/browse/?tagfilter=food-donation
"GMG Food Management,
LLC","GMG Food Management,
LLC","1144 East Airport Blvd, #700, Austin, TX",(512) 927-1000,"info@gmgfoodmanagement
llc.com",https://www.linkedin.com/company/gmg-group/,https://www.linkedin.com/company/gmg-group/; https://www.linkedin.com/company/greenmg; https://www.linkedin.com/company/gmculinary
"G.C. Garland 2014, Ltd.","G.C. Garland 2014, Ltd. LLC","2702 Lavon Drive, Garland, TX",(972) 905-5160,info@g.c.garland2014ltd..com,https://www.linkedin.com/company/the-garland-company-inc-,https://www.linkedin.com/company/the-garland-company-inc-; https://www.linkedin.com/jobs/view/senior-sql-database-administrator-at-optomi-4179425085; https://www.linkedin.com/company/garlandservicecompany
"Oceanwide Holdings, LLC","Oceanwide Holdings, LLC","211 Pelham Road, Greenville, TX",(864) 520-1885,info@oceanwideholdingsllc.com,https://www.linkedin.com/company/oceanwide-texas-inc,https://www.linkedin.com/company/oceanwide-texas-inc; https://www.linkedin.com/company/oceanwidecrew; https://www.linkedin.com/in/justin-han-b3b06375
"BQF Operations, LLC","BQF Operations, LLC","151 S. Henry Hynds Expwy, Van Alstyne, TX",(903) 482-4160,info@bqfoperationsllc.com,https://www.linkedin.com/company/lacorenutra,https://www.linkedin.com/company/lacorenutra; https://www.linkedin.com/in/scott-meaders-03aa6434; https://www.linkedin.com/in/kimberlybowen
"Lucel Enterprises, Inc.","Lucel Enterprises, Inc.","525 East Highway 83, La Joya, TX",(956) 584-1432,info@lucelenterprisesinc..com,https://www.linkedin.com/company/lucelsolutions,https://www.linkedin.com/company/lucelsolutions; https://www.linkedin.com/company/miraenterprises-inc; https://www.linkedin.com/in/claudia-alanis-3b36b7237
ISOSA Inc.,ISOSA Inc.,"1100 E. Pleasant Run Rd. # 300, Desoto, TX",(469) 530-5525,info@isosainc..com,https://www.linkedin.com/jobs/view/travel-home-health-physical-therapy-assistant-%241-790-per-week-at-remoteworker-us-4259618472,https://www.linkedin.com/jobs/view/travel-home-health-physical-therapy-assistant-%241-790-per-week-at-remoteworker-us-4259618472; https://www.linkedin.com/in/hyginus-nwagu-5587a113; https://www.linkedin.com/in/jeremypiper1
"Jensen’s Golden Goodness
Corp.","Jensen’s Golden Goodness
Corp. LLC","3965 S. Lake Forest Dr., McKinney, TX",(972) 369-7388,"info@jensen’sgoldengoodness
corp..com",https://www.linkedin.com/in/debbie-jensen-55120214,https://www.linkedin.com/in/debbie-jensen-55120214; https://www.linkedin.com/in/mary-wilson-b8808560; https://pa.linkedin.com/company/bravarooftile
287 Exxon Mini Mart Inc.,287 Exxon Mini Mart Inc.,"1201 MLK Freeway, Fort Worth, TX",(817) 744-7918,info@287exxonminimartinc..com,,
"CCC Restaurant
Corporation","CCC Restaurant
Corporation LLC","14501 Trinity Blvd, Suite 501, Fort Worth, TX",(817) 684-7618,"info@cccrestaurant
corporation.com",https://www.linkedin.com/company/cooper-jensen-contractors,https://www.linkedin.com/company/cooper-jensen-contractors; https://sv.linkedin.com/company/cooper-jensen-contractors; https://www.linkedin.com/company/cotton-patch-cafe
"Food Trio, Inc.","Food Trio, Inc.","3044 North Josey Lane, Carrollton, TX",(972) 492-6600,info@foodtrioinc..com,https://www.linkedin.com/jobs/view/driver-dot-at-trio-community-meals-4256492582,https://www.linkedin.com/jobs/view/driver-dot-at-trio-community-meals-4256492582; https://www.linkedin.com/jobs/view/food-service-worker-at-sodexo-4257459330; https://www.linkedin.com/company/trio-food
ISOSA Inc.,ISOSA Inc.,"601 E. Ennis Avenue, Ennis, TX",(972) 878-0049,info@isosainc..com,https://www.linkedin.com/company/ennis-inc.,https://www.linkedin.com/company/ennis-inc.; https://my.linkedin.com/company/isonas-security-systems; https://www.scribd.com/document/501577180/Payors-Data-for-I-Network-Mailer-Campion
ISOSA Incorporated,ISOSA Incorporated,"2253 S. Buckner Blvd., Dallas, TX",(972) 275-5757,info@isosaincorporated.com,https://www.linkedin.com/company/arcosa-inc,https://www.linkedin.com/company/arcosa-inc; https://www.linkedin.com/company/powered-by-triumph; https://www.linkedin.com/company/comerica-bank
"Hagan, John","Hagan, John LLC","1901 Hutchings Avenue, Ballinger, TX",(325) 365-2646,info@haganjohn.com,https://www.linkedin.com/pub/dir/John/Ballinger,https://www.linkedin.com/pub/dir/John/Ballinger; https://bankersdigest.com/tag/jacob-hagan/; https://www.nelsonmullins.com/professionals?limit=1045
"Country Chicken, LLC","Country Chicken, LLC","1943 N. Kings Highway, Nash, TX",(903) 255-7494,info@countrychickenllc.com,https://in.linkedin.com/company/countrychickenco,https://in.linkedin.com/company/countrychickenco; https://www.linkedin.com/company/daveshotchicken; https://www.linkedin.com/company/chestersintl
GJJ LLC,GJJ LLC,"2520 N. Story Road, Irving, TX",(469) 284-5600,info@gjjllc.com,https://www.linkedin.com/in/jim-pisoni-bb23a028,https://www.linkedin.com/in/jim-pisoni-bb23a028; https://www.linkedin.com/company/gj-cloudsolutions; https://www.linkedin.com/in/ryan-young-insurance
Ben-Brac Ltd.,Ben-Brac Ltd. LLC,"201 North Green Street, Caldwell, TX",(979) 567-9460,info@ben-bracltd..com,https://www.linkedin.com/in/ben-caldwell-9298975b,https://www.linkedin.com/in/ben-caldwell-9298975b; https://www.linkedin.com/pub/dir/Ben/Caldwell/us-0-United-States; https://www.linkedin.com/in/ben-caldwell-a222b448
MRN Food Services LLC,MRN Food Services LLC,"14430 Marsh Lane, Addison, TX",(972) 406-9799,info@mrnfoodservicesllc.com,https://www.linkedin.com/in/natalie-montemayor-95086917,https://www.linkedin.com/in/natalie-montemayor-95086917; https://www.linkedin.com/company/redemptionroadfoods; https://www.linkedin.com/company/jake's-finer-foods
"Hatcher, R.D.","Hatcher, R.D. LLC","1910 Avenue F Northwest, Childress, TX",(940) 937-6869,info@hatcherr.d..com,https://www.linkedin.com/pub/dir/Ronald/Hatcher,https://www.linkedin.com/pub/dir/Ronald/Hatcher; https://www.linkedin.com/in/brittany-varner-bb9479162; https://www.linkedin.com/in/jerry-jurado-59081712
"Austin Fast Food
Management, Ltd.","Austin Fast Food
Management, Ltd. LLC","7107 Highway 71 West, Austin, TX",(512) 288-3949,"info@austinfastfood
managementltd..com",https://www.linkedin.com/in/john-shinski-b5188426,https://www.linkedin.com/in/john-shinski-b5188426; https://www.linkedin.com/jobs/view/service-leader-at-chipotle-mexican-grill-4260009994; https://www.linkedin.com/in/elissa-hill-6a6320169
"GC Restaurants SA, LLC","GC Restaurants SA, LLC","4315 South Gevers, San Antonio, TX",(210) 532-2037,info@gcrestaurantssallc.com,https://www.linkedin.com/company/golfcluboftexas-sanantonio,https://www.linkedin.com/company/golfcluboftexas-sanantonio; https://www.linkedin.com/company/steak-n-shake; https://www.linkedin.com/in/joe-g-76059a156
ISOSA Inc.,ISOSA Inc.,"901 W. 7^{th} Street, Corsicana, TX",(903) 872-2888,info@isosainc..com,https://www.linkedin.com/in/cody-york-7106281a2,https://www.linkedin.com/in/cody-york-7106281a2; https://www.linkedin.com/in/adrianne-ward-85bb98b4; https://www.linkedin.com/in/william-youst
"G.C. Ft. Worth – Craig
2016, Ltd.","G.C. Ft. Worth – Craig
2016, Ltd. LLC","5701 Craig Street, Fort Worth, TX",(817) 653-7111,"info@g.c.ft.worth–craig
2016ltd..com",https://www.linkedin.com/in/craig-harroff-76107,https://www.linkedin.com/in/craig-harroff-76107; https://www.linkedin.com/in/craig-p-barbolla; https://www.linkedin.com/in/craig-bagley-08aba68b
"GC Restaurants SA, LLC","GC Restaurants SA, LLC","14427 Hwy. 87, Lavernia, TX",(830) 779-2184,info@gcrestaurantssallc.com,https://www.linkedin.com/company/golden-corral,https://www.linkedin.com/company/golden-corral; https://www.linkedin.com/company/elpx-restaurant-group; https://www.linkedin.com/company/diversified-restaurant-group
A&A Jet Investments LLC,A&A Jet Investments LLC,"106 S. Cockrell Hill Road, Desoto, TX",(972) 223-6346,info@a&ajetinvestmentsllc.com,https://www.linkedin.com/in/daveupdike,https://www.eeoc.gov/initiatives/e-race/significant-eeoc-racecolor-casescovering-private-and-federal-sectors; https://legacy.trade.gov/mas/ian/etca/tg_ian_002196.asp; https://www.linkedin.com/in/daveupdike
"Bo Stover Gonzales, Inc.","Bo Stover Gonzales, Inc.","223 ½ N. Saint Joseph St., Gonzales, TX",(830) 672-8343,info@bostovergonzalesinc..com,https://www.linkedin.com/in/bo-stover-54582226,https://www.linkedin.com/in/bo-stover-54582226; https://www.linkedin.com/in/bo-gonzalez-0538826; https://www.linkedin.com/pub/dir/Bo/Stover
"Hagan, John","Hagan, John LLC","2602 Sherwood Way, San Angelo, TX",(325) 224-0805,info@haganjohn.com,https://www.linkedin.com/in/john-hagan-8415a449,https://www.linkedin.com/in/john-hagan-8415a449; https://www.linkedin.com/in/john-hagen-a5b89969; https://www.linkedin.com/in/john-hagan-1597a85a
"AIG-S Foods Enterprises,
LLC","AIG-S Foods Enterprises,
LLC","1112 West Washington, Stephenville, TX",(254) 965-2474,"info@aig-sfoodsenterprises
llc.com",https://www.linkedin.com/in/shahzad-ghafoor-mba-b52a1823,https://www.linkedin.com/in/shahzad-ghafoor-mba-b52a1823; https://www.linkedin.com/company/aig; https://www.linkedin.com/company/mb-sentinel-enterprises-llc
"MURPHYWYLIEGC
LLC","MURPHYWYLIEGC
LLC","305 East FM 544, Suite 901, Murphy, TX",(972) 423-2442,"info@murphywyliegc
llc.com",https://www.linkedin.com/company/murphy-legal,https://www.linkedin.com/company/murphy-legal; https://www.linkedin.com/in/james-murphy-63375819; https://www.linkedin.com/in/brockmurphylaw
"Delano & Delano, Ltd.","Delano & Delano, Ltd. LLC","1610 South Ft Hood Street, Killeen, TX",(254) 554-7939,info@delano&delanoltd..com,https://www.linkedin.com/in/delano-armstrong-b562022a5,https://www.linkedin.com/in/delano-armstrong-b562022a5; https://www.linkedin.com/in/delano-criss-469b9a284; https://www.linkedin.com/in/marchello-delano
KY Frontier LLC,KY Frontier LLC,"17858 Preston Road, Dallas, TX",(972) 930-0318,info@kyfrontierllc.com,https://www.linkedin.com/company/frontierseniorliving,https://www.linkedin.com/company/frontierseniorliving; https://www.linkedin.com/in/k-c-hustad-0818144; https://www.linkedin.com/in/todd-payne-b97833a1
"G.C. Ft. Worth –
Renaissance 2016, Ltd.","G.C. Ft. Worth –
Renaissance 2016, Ltd. LLC","2820 E. Berry Street, Fort Worth, TX",(682) 841-0278,"info@g.c.ft.worth–
renaissance2016ltd..com",https://www.linkedin.com/company/the-worthington-renaissance-fort-worth-hotel,https://www.linkedin.com/company/the-worthington-renaissance-fort-worth-hotel; https://www.linkedin.com/in/phillippefalkner; https://www.linkedin.com/in/mcginnisglenn
ISOSA Inc.,ISOSA Inc.,"7979 S. Hampton Rd., Dallas, TX",(972) 780-9000,info@isosainc..com,https://www.linkedin.com/company/texas2036,https://www.linkedin.com/company/texas2036; https://www.linkedin.com/company/trinity-industries; https://www.linkedin.com/company/rave-restaurant-group-inc-
"First Momentum
Enterprises, LLC","First Momentum
Enterprises, LLC","1400 Turner Warnell Road, Mansfield, TX",(817) 473-4300,"info@firstmomentum
enterprisesllc.com",https://www.linkedin.com/in/shawn-gambrell-6a9171129,https://www.linkedin.com/in/shawn-gambrell-6a9171129; https://www.linkedin.com/company/firstmomentum; https://www.linkedin.com/in/john-hardee
"New Era Assets, Inc.","New Era Assets, Inc.","1800 South Cooper, Arlington, TX",(817) 795-9400,info@neweraassetsinc..com,https://www.linkedin.com/company/new-era-asset-management-llc,https://www.linkedin.com/company/new-era-asset-management-llc; https://www.linkedin.com/company/trueaero; https://www.linkedin.com/in/bruce-popko-68a1614
